availableDocks,totalDocks,city,altitude,stAddress2,longitude,lastCommunicationTime,postalCode,statusValue,testStation,stAddress1,stationName,landMark,latitude,statusKey,availableBikes,id,location
5,19,,,,-87.6277394859,,,Not In Service,False,State St & Harrison St,State St & Harrison St,030,41.8739580629,3,14,5,620 S. State St.
15,19,Chicago,,,-87.65268082,,,Not In Service,False,Wilton Ave & Diversey Pkwy,Wilton Ave & Diversey Pkwy,066,41.93250008,3,4,13,2790 N.Wilton Ave
12,15,Chicago,,,-87.651073,,,Not In Service,False,Morgan St & 18th St,Morgan St & 18th St,163,41.858086,3,3,14,962 W. 18th St
11,15,Chicago,,,-87.6564866473,,,Not In Service,False,Racine Ave & 18th St,Racine Ave & 18th St,164,41.8581806068,3,4,15,1722 S Racine Ave
8,11,,,,-87.672516,,,Not In Service,False,Wood St & North Ave,Wood St & North Ave,223,41.910329,3,3,16,1553 N Wood St
10,15,,,,-87.67273,,,Not In Service,False,Wood St & Division St,Wood St & Division St,246,41.90332,3,5,17,1802 W. Divison St
13,15,Chicago,,,-87.660996,,,Not In Service,False,Loomis St & Taylor St,Loomis St & Taylor St,139,41.869417,3,2,19,
7,15,Chicago,,,-87.65349723,,,Not In Service,False,Sheffield Ave & Kingsbury St,Sheffield Ave & Kingsbury St,154,41.90959193,3,8,20,1009 W. Weed st
10,15,Chicago,,,-87.65478743,,,Not In Service,False,Aberdeen St & Jackson Blvd,Aberdeen St & Jackson Blvd,157,41.87772613,3,5,21,1103 W.Jackson Blvd
12,15,,,,-87.6554864,,,Not In Service,False,May St & Taylor St,May St & Taylor St,160,41.8694821,3,3,22,1134 W. Taylor St
10,15,,,,-87.637715,,,Not In Service,False,Orleans St & Elm St,Orleans St & Elm St,172,41.902924,3,5,23,350 W. Elm st
13,15,,,,-87.62062,,,Not In Service,False,Fairbanks Ct & Grand Ave,Fairbanks Ct & Grand Ave,262,41.89186,3,2,24,240 E.Grand Ave.
15,23,,,,-87.62351,,,Not In Service,False,Michigan Ave & Pearson st,Michigan Ave & Pearson St,034,41.89766,3,8,25,150 E.Pearson st
15,31,,,,-87.6173,,,Not In Service,False,McClurg Ct & Illinois St,McClurg Ct & Illinois St,051,41.89102,3,15,26,
15,19,,,,-87.6435,,,Not In Service,False,Larrabee St & North Ave,Larrabee St & North Ave,174,41.91021,3,4,27,1530 N.Larrabee st
8,15,,,,-87.64332,,,Not In Service,False,Larrabee St & Menomonee St,Larrabee St & Menomonee St,282,41.91468,3,7,28,590 W. Menomonee
13,15,,,,-87.6626,,,Not In Service,False,Noble St & Milwaukee Ave,Noble St & Milwaukee Ave,290,41.90068,3,2,29,1016 N. Noble st
13,15,,,,-87.6677,,,Not In Service,False,Ashland Ave & Augusta Blvd,Ashland Ave & Augusta Blvd,248,41.899643,3,2,30,1611 W. Augusta Blvd
18,23,,,,-87.63563839,,,Not In Service,False,Franklin St & Chicago Ave,Franklin St & Chicago Ave,017,41.89680204,3,5,31,805 N. Franklin St
11,19,,,,-87.65703,,,Not In Service,False,Racine Ave & Congress Pkwy,Racine Ave & Congress Pkwy,076,41.87464,3,8,32,550 S. Racine
17,27,,,,-87.627844,,,Not In Service,False,State St & Van Buren St,State St & Van Buren St,003,41.877181,3,10,33,360 S State St
10,15,,,,-87.6344287848,,,Not In Service,False,Cannon Dr & Fullerton Ave,Cannon Dr & Fullerton Ave,124,41.9267559875,3,5,34,2432 N. Cannon Dr.
28,39,,,,-87.6122,,,Not In Service,False,Streeter Dr & Illinois St,Streeter Dr & Illinois St,022,41.891071,3,11,35,585 E. Illinois st
19,31,,,,-87.6353211408,,,Not In Service,False,Franklin St & Jackson Blvd,Franklin St & Jackson Blvd,019,41.8777079559,3,11,36,340 S. Franklin St
9,19,,,,-87.6297910363,,,Not In Service,False,Dearborn St & Adams St,Dearborn St & Adams St,020,41.8793563587,3,10,37,59 W. Adams St 
10,15,,,,-87.6253370902,,,Not In Service,False,Wabash Ave & Cermak Rd,Wabash Ave & Cermak Rd,170,41.8532387578,3,5,42,2119 S. Wabash Ave.
31,43,,,,-87.6246491409,,,Not In Service,False,Michigan Ave & Washington St,Michigan Ave & Washington St,001,41.8838927658,3,12,43,120 N Michigan
19,27,,,,-87.6277335692,,,Not In Service,False,State St & Randolph St,State St & Randolph St,002,41.8847302006,3,8,44,
13,15,,,,-87.6244333636,,,Not In Service,False,Michigan Ave & Congress Pkwy,Michigan Ave & Congress Pkwy,040,41.876065599,3,2,45,420 w. Michigan
17,19,,,,-87.63443007,,,Not In Service,False,Wells St & Walton St,Wells St & Walton St,046,41.89993001,3,2,46,932 N. Wells St.
15,19,,,,-87.6277,,,Not In Service,False,State St & Kinzie St,State St & Kinzie St,050,41.88918,3,4,47,5 E. Kinzie St.
17,27,,,,-87.642884,,,Not In Service,False,Larrabee St & Kingsbury St,Larrabee St & Kingsbury St,012,41.897764,3,10,48,840 N. Larrabee St.
12,23,,,,-87.6295209193,,,Not In Service,False,Dearborn St & Monroe St,Dearborn St & Monroe St,049,41.881319815,3,11,49,80 S. Dearborn St.
22,27,,,,-87.6305845355,,,Not In Service,False,Clark St & Congress Pkwy,Clark St & Congress Pkwy,009,41.8759326655,3,5,50,
30,31,,,,-87.63188991,,,Not In Service,False,Clark St & Randolph St,Clark St & Randolph St,005,41.884576228,3,1,51,120 W. Randolph St.
8,23,,,,-87.6242893413,,,Not In Service,False,Michigan Ave & Lake St,Michigan Ave & Lake St,043,41.8860581151,3,15,52,203 N. Michigan Ave.
15,19,,,Formerly Wells/Huron,-87.634195,,,Not In Service,False,Wells St & Erie St,Wells St & Erie St,064,41.893832,3,4,53,
12,19,,,,-87.6540612729,,,Not In Service,False,Ogden Ave & Chicago Ave,Ogden Ave & Chicago Ave,044,41.896362458,3,7,54,1040 W. Chicago Ave.
12,15,,,,-87.646611,,,Not In Service,False,Halsted St & James M Rochford St,Halsted St & James M Rochford St,166,41.865861,3,3,55,791 W. James M. Rochford St.
12,19,,,,-87.6444478533,,,Not In Service,False,Desplaines St & Kinzie St,Desplaines St & Kinzie St,039,41.888716036,3,7,56,368 N. Desplaines St.
10,15,,,,-87.6410879593,,,Not In Service,False,Clinton St & Roosevelt Rd,Clinton St & Roosevelt Rd,327,41.8671177825,3,5,57,559 W. Roosevelt Rd.
7,15,,,,-87.668919,,,Not In Service,False,Ashland Ave & Armitage Ave,Ashland Ave & Armitage Ave,025,41.9178588677,3,8,58,1639 W. Armitage Ave.
17,19,,,,-87.6259550069,,,Not In Service,False,Wabash Ave & Roosevelt Rd,Wabash Ave & Roosevelt Rd,031,41.8671729952,3,2,59,1210 S. Wabash Ave.
12,19,,,,-87.6494219288,,,Not In Service,False,Dayton St & North Ave,Dayton St & North Ave,058,41.9105780349,3,7,60,1575 N. Dayton St.
10,15,,,,-87.672552,,,Not In Service,False,Wood St & Milwaukee Ave,Wood St & Milwaukee Ave,221,41.907655,3,5,61,1416 N. Wood
23,27,,,,-87.6188346489,,,Not In Service,False,McCormick Place,McCormick Place,106,41.8513751729,3,4,62,2253 S. Dr. Martin Luther King Jr Dr.
12,19,,,,-87.6413823149,,,Not In Service,False,Clinton St & Lake St,Clinton St & Lake St,021,41.8858327415,3,7,66,202 N. Clinton St.
11,15,,,,-87.6537080423,,,Not In Service,False,Sheffield Ave & Fullerton Ave,Sheffield Ave & Fullerton Ave,060,41.9256018819,3,4,67,2410 N. Sheffield Ave.
20,23,,,,-87.640795,,,Not In Service,False,Clinton St & Tilden St,Clinton St & Tilden St,037,41.875885,3,2,68,520 W. Tilden
13,19,,,,-87.6776919292,,,Not In Service,False,Damen Ave & Pierce Ave,Damen Ave & Pierce Ave,065,41.9093960065,3,5,69,2002 W. Pierce Ave.
10,15,,,,-87.6523048564,,,Not In Service,False,Morgan St & Lake St,Morgan St & Lake St,072,41.8854833079,3,5,71,1003 W. Lake St.
12,15,,,,-87.6277291853,,,Not In Service,False,State St & 16th St,State St & 16th St,148,41.8601213774,3,3,72,1 W. 16th St.
16,19,,,,-87.642746,,,Not In Service,False,Jefferson St & Monroe St,Jefferson St & Monroe St,038,41.880422,3,3,73,207 S. Jefferson St.
19,23,,,,-87.64185116,,,Not In Service,False,Kingsbury St & Erie St,Kingsbury St & Erie St,265,41.89384315,3,4,74,511 W Erie
24,35,,,,-87.63997112,,,Not In Service,False,Canal St & Jackson Blvd,Canal St & Jackson Blvd,138,41.87811421,3,10,75,510 W. Jackson Blvd.
8,11,,,,-87.61697,,,Not In Service,False,Lake Shore Dr & Monroe St,Lake Shore Dr & Monroe St,300,41.88105,3,3,76,402 E. Monroe St.
16,23,,,,-87.64127743,,,Not In Service,False,Clinton St & Madison St,Clinton St & Madison St,301,41.8815824,3,7,77,8 S. Clinton St.
12,19,,,,-87.654752,,,Not In Service,False,Aberdeen St & Madison St,Aberdeen St & Madison St,156,41.881487,3,7,80,1059 W. Madison St.
35,47,,,,-87.630183,,,Not In Service,False,Daley Center Plaza,Daley Center Plaza,023,41.884337,3,12,81,48 W. Washington St.
14,19,,,,-87.648727,,,Not In Service,False,Green St & Milwaukee Ave,Green St & Milwaukee Ave,033,41.891733,3,5,84,820 W. Grand Ave.
5,15,Chicago,,,-87.62377664,,,Not In Service,False,Michigan Ave & Oak St,Michigan Ave & Oak St,042,41.90096039,3,10,85,140 E. Oak St.
6,15,,,,-87.66098386,,,Not In Service,False,Eckhart Park,Eckhart Park,289,41.89637337,3,9,86,811 N. Noble St.
