station_start,station_end,distance_meters
chicago100,chicago100,0
chicago100,chicago106,1812
chicago100,chicago108,3156
chicago100,chicago109,3019
chicago100,chicago110,1348
chicago100,chicago111,1188
chicago100,chicago112,2050
chicago100,chicago113,4007
chicago100,chicago114,7218
chicago100,chicago115,6381
chicago100,chicago116,5579
chicago100,chicago117,6576
chicago100,chicago118,2578
chicago100,chicago119,3234
chicago100,chicago120,4980
chicago100,chicago121,14383
chicago100,chicago122,4358
chicago100,chicago123,6700
chicago100,chicago124,7136
chicago100,chicago126,3119
chicago100,chicago127,4947
chicago100,chicago128,4426
chicago100,chicago129,5808
chicago100,chicago13,6231
chicago100,chicago130,4239
chicago100,chicago131,7125
chicago100,chicago132,5912
chicago100,chicago134,2654
chicago100,chicago135,5133
chicago100,chicago136,4680
chicago100,chicago137,4540
chicago100,chicago138,2031
chicago100,chicago14,5021
chicago100,chicago140,1808
chicago100,chicago141,3309
chicago100,chicago143,4123
chicago100,chicago144,4342
chicago100,chicago146,3629
chicago100,chicago147,8566
chicago100,chicago148,10662
chicago100,chicago149,10009
chicago100,chicago15,5489
chicago100,chicago150,8929
chicago100,chicago152,5758
chicago100,chicago153,6333
chicago100,chicago154,6969
chicago100,chicago156,5931
chicago100,chicago157,6213
chicago100,chicago158,4990
chicago100,chicago159,5527
chicago100,chicago16,4376
chicago100,chicago160,5903
chicago100,chicago162,6860
chicago100,chicago163,6242
chicago100,chicago164,1248
chicago100,chicago165,7548
chicago100,chicago166,5976
chicago100,chicago167,7781
chicago100,chicago168,3971
chicago100,chicago169,2450
chicago100,chicago17,3890
chicago100,chicago170,4439
chicago100,chicago171,5585
chicago100,chicago173,2223
chicago100,chicago174,1792
chicago100,chicago175,3001
chicago100,chicago176,2167
chicago100,chicago177,5800
chicago100,chicago178,4983
chicago100,chicago179,11381
chicago100,chicago181,700
chicago100,chicago183,4128
chicago100,chicago184,7361
chicago100,chicago185,6035
chicago100,chicago186,3033
chicago100,chicago188,5255
chicago100,chicago19,4521
chicago100,chicago190,5575
chicago100,chicago191,1784
chicago100,chicago192,1873
chicago100,chicago193,6149
chicago100,chicago194,1205
chicago100,chicago195,2104
chicago100,chicago196,1996
chicago100,chicago197,1979
chicago100,chicago198,2052
chicago100,chicago199,1473
chicago100,chicago20,3510
chicago100,chicago200,12860
chicago100,chicago201,11767
chicago100,chicago202,4743
chicago100,chicago203,8021
chicago100,chicago204,14639
chicago100,chicago205,6494
chicago100,chicago206,6428
chicago100,chicago207,6906
chicago100,chicago208,6467
chicago100,chicago209,5868
chicago100,chicago21,3440
chicago100,chicago210,3479
chicago100,chicago211,1862
chicago100,chicago212,739
chicago100,chicago213,5096
chicago100,chicago214,4138
chicago100,chicago215,4112
chicago100,chicago216,6309
chicago100,chicago217,2161
chicago100,chicago218,5033
chicago100,chicago219,5203
chicago100,chicago22,4065
chicago100,chicago220,5517
chicago100,chicago222,6259
chicago100,chicago223,4300
chicago100,chicago224,3465
chicago100,chicago225,4876
chicago100,chicago226,6828
chicago100,chicago227,7932
chicago100,chicago228,7365
chicago100,chicago229,7442
chicago100,chicago23,1662
chicago100,chicago230,7681
chicago100,chicago231,10128
chicago100,chicago232,7255
chicago100,chicago233,2329
