nbEmptyDocks,lastCommWithServer,locked,name,installDate,nbBikes,id,long,installed,terminalName,latestUpdateTime,lat,temporary,removalDate,public
7,1389028969225,false,20th & Bell St,1316059200000,4,1,-77.0512,true,31000,1388901373094,38.8561,false,,true
4,1389028881502,false,18th & Eads St.,1284989400000,7,2,-77.05332,true,31001,1389021412329,38.85725,false,,true
9,1389028946526,false,20th & Crystal Dr,1284464580000,6,3,-77.0492,true,31002,1389026654157,38.8564,false,,true
4,1389028936386,false,15th & Crystal Dr,1284464880000,7,4,-77.049593,true,31003,1389025797815,38.86017,false,,true
4,1389028863320,false,Aurora Hills Community Ctr/18th & Hayes St,1284464880000,7,5,-77.05949,true,31004,1389020533487,38.857866,false,,true
9,1389028782106,false,12th & Hayes St /  Pentagon City Metro,1284464940000,10,6,-77.059936,true,31005,1389019670225,38.862303,false,,true
4,1389028758591,false,S Joyce & Army Navy Dr,1284464940000,7,7,-77.0633,true,31006,1389020235018,38.8637,false,,true
2,1389028891827,false,Crystal City Metro / 18th & Bell St,1284465000000,17,8,-77.0511,true,31007,1389024996529,38.8573,false,,true
7,1389028911785,false,12th & Army Navy Dr,1284465000000,4,9,-77.0528,true,31008,1389024798814,38.8629,false,,true
12,1389028802293,false,27th & Crystal Dr,1284465060000,7,10,-77.051516,true,31009,1389017730875,38.848441,false,,true
3,1389028854774,false,S Glebe & Potomac Ave,1284465120000,8,11,-77.0502,true,31010,1389025262805,38.8426,false,,true
9,1389028821933,false,23rd & Crystal Dr,1284465120000,8,12,-77.0498,true,31011,1389017077734,38.8533,false,,true
6,1389028795311,false,26th & S Clark St,1284465300000,5,13,-77.05152,true,31012,1389025016651,38.850688,false,,true
8,1389028936689,false,19th St & Pennsylvania Ave NW,1284465360000,6,14,-77.0429,true,31100,1389026960303,38.9003,false,,true
20,1389028784600,false,14th & V St NW,1284465420000,7,15,-77.0321,true,31101,1389027817627,38.9176,false,,true
19,1389028926983,false,11th & Kenyon St NW,1286539080000,7,16,-77.027822,true,31102,1389028683794,38.929464,false,,true
17,1389028794880,false,16th & Harvard St NW,1284465480000,16,17,-77.036536,true,31103,1389028792909,38.926088,false,,true
6,1389028986503,false,Adams Mill & Columbia Rd NW,1284465540000,9,18,-77.042581,true,31104,1389028744321,38.922925,false,,true
12,1389028959705,false,14th & Harvard St NW,1284465540000,7,19,-77.0322,true,31105,1389025038878,38.9268,false,,true
6,1389028842998,false,Calvert & Biltmore St NW,1284465600000,17,20,-77.047637,true,31106,1389024683028,38.923203,false,,true
10,1389028777140,false,Lamont & Mt Pleasant NW,1284465600000,7,21,-77.0388,true,31107,1389024419068,38.9319,false,,true
15,1389028842449,false,4th & M St SW,1284465660000,8,22,-77.0178,true,31108,1389028322767,38.8767,false,,true
10,1389028887804,false,15th & P St NW,1284465660000,9,23,-77.034438,true,31201,1389028886554,38.90985,false,,true
11,1389028984564,false,14th & R St NW,1284465720000,4,24,-77.031681,true,31202,1389028983696,38.912682,false,,true
16,1389028881013,false,14th & Rhode Island Ave NW,1284465780000,7,25,-77.0323,true,31203,1389028636032,38.9086,false,,true
3,1389028931987,false,20th & E St NW,1284465840000,12,26,-77.045,true,31204,1389027000999,38.8963,false,,true
17,1389028889412,false,21st & I St NW,1283861040000,18,27,-77.047,true,31205,1389028557315,38.9008,false,,true
11,1389028841964,false,Georgia & New Hampshire Ave NW,1284465900000,4,28,-77.024649,true,31400,1389027392012,38.936043,false,,true
9,1389028754379,false,14th St & Spring Rd NW,1284465960000,2,29,-77.0328,true,31401,1389028269431,38.9375,false,,true
6,1389028835925,false,John McCormack Dr & Michigan Ave NE,1284465960000,5,30,-76.9955,true,31502,1389018700942,38.9346,false,,true
15,1389028988086,false,5th & K St NW,1284466020000,4,31,-77.019027,true,31600,1389028986290,38.90304,false,,true
8,1389028822440,false,19th & East Capitol St SE,1284466020000,7,32,-76.9769,true,31601,1389027131466,38.8896,false,,true
15,1389028777782,false,Park Rd & Holmead Pl NW,1284466080000,4,33,-77.0315,true,31602,1389026012764,38.9308,false,,true
6,1389028924734,false,Good Hope & Naylor Rd SE,1284466140000,5,34,-76.9672,true,31700,1389013690212,38.8601,false,,true
5,1389028918541,false,Connecticut Ave & Newark St NW / Cleveland Park,1289241840000,6,35,-77.057979,true,31305,1389025372665,38.934267,false,,true
5,1389028766968,false,Randle Circle & Minnesota Ave SE,1284466200000,6,36,-76.9607,true,31702,1388987869510,38.878,false,,true
6,1389028879871,false,Minnesota Ave Metro/DOES,1284466200000,5,37,-76.947446,true,31703,1388987874699,38.897063,false,,true
5,1389028791455,false,Nannie Helen Burroughs & Minnesota Ave NE,1386766320000,6,38,-76.941877,true,31704,1388987869923,38.901385,false,1298396940000,true
6,1389028963189,false,Anacostia Metro,1284466260000,5,39,-76.994637,true,31801,1389024345972,38.862669,false,,true
2,1389028933383,false,Good Hope Rd & MLK Ave SE,1305288720000,9,40,-76.988039,true,31802,1389027484471,38.867373,false,,true
4,1389028757587,false,19th & E Street NW,1284545040000,7,41,-77.0436,true,31206,1389019140306,38.8952,false,,true
4,1389028805369,false,4th St & Rhode Island Ave NE,1289970000000,7,42,-77.000624,true,31500,1389024134535,38.919488,false,,true
8,1389028913804,false,10th & U St NW,1285822380000,7,43,-77.0259,true,31111,1389028188538,38.9172,false,,true
9,1389028983894,false,Georgia Ave and Fairmont St NW,1285041600000,2,44,-77.0222,true,31207,1389028742050,38.9249,false,,true
19,1389028803973,false,1st & N St  SE,1285041600000,4,45,-77.0057,true,31209,1389017348159,38.8743,false,,true
7,1389028989824,false,20th St & Florida Ave NW,1285217520000,8,46,-77.0446,true,31110,1389028988530,38.9154,false,,true
11,1389028973194,false,7th & T St NW,1285735680000,4,47,-77.0222,true,31109,1389026443690,38.9155,false,,true
7,1389028961325,false,23rd & Eads St,1287562620000,4,48,-77.053535,true,31013,1389017749185,38.853613,false,,true
7,1389028765990,false,M St & New Jersey Ave SE,1285041600000,10,49,-77.0037,true,31208,1389024939896,38.8763,false,,true
17,1389028776566,false,Massachusetts Ave & Dupont Circle NW,1284523200000,27,51,-77.0444,true,31200,1389028775008,38.9101,false,,true
5,1389028888140,false,1st & M St NE,1287115200000,10,52,-77.0056,true,31603,1389028161575,38.9057,false,,true
1,1389028963339,false,21st & M St NW,1285041600000,18,53,-77.046774,true,31212,1389027754473,38.90534,false,,true
9,1389028977372,false,17th & K St NW,1306236960000,7,54,-77.03863,true,31213,1389028493390,38.90276,false,,true
10,1389028893578,false,4th St & Massachusetts Ave NW,1287028800000,5,55,-77.016,true,31604,1389027684786,38.9003,false,,true
4,1389028799943,false,3rd & D St SE,1287201600000,7,56,-77.0023,true,31605,1389020076040,38.8851,false,,true
9,1389028841814,false,Potomac & Pennsylvania Ave SE,1287460800000,6,57,-76.9862,true,31606,1389026367374,38.8803,false,,true
9,1389028754387,false,14th & D St SE,1287374400000,6,58,-76.9861,true,31607,1389024523194,38.884,false,,true
10,1389028979250,false,17th & Corcoran St NW,1294078980000,9,59,-77.0387,true,31214,1389028254190,38.9121,false,,true
1,1389028832470,false,Van Ness Metro / UDC,1289624400000,14,60,-77.063896,true,31300,1389026882932,38.944551,false,,true
12,1389028759371,false,Florida Ave & R St NW,1290056400000,3,61,-77.0135,true,31503,1389028758650,38.9126,false,,true
11,1389028870740,false,8th & Eye St SE / Barracks Row,1287374400000,0,62,-76.9953,true,31608,1389026939398,38.8792,false,,true
3,1389028902548,false,Ward Circle / American University,1289538000000,12,63,-77.087171,true,31301,1389026498460,38.938736,false,,true
3,1389028821091,false,Idaho Ave & Newark St NW [on 2nd District patio],1289970000000,11,64,-77.074647,true,31302,1389025153611,38.934751,false,,true
7,1389028842414,false,14th St Heights / 14th & Crittenden St NW,1289970000000,4,65,-77.032818,true,31402,1389017450827,38.947774,false,,true
3,1389028934444,false,Anacostia Library,1288584000000,8,66,-76.9784,true,31804,1388901379519,38.865784,false,,true
7,1389028843181,false,Pennsylvania & Minnesota Ave SE,1288584000000,4,67,-76.971015,true,31805,1388987873841,38.873057,false,,true
10,1389028818047,false,Eastern Market / 7th & North Carolina Ave SE,1282363200000,5,68,-76.996806,true,31610,1389024720199,38.886952,false,,true
8,1389028960891,false,McPherson Square / 14th & H St NW,1284436800000,10,69,-77.032005,true,31216,1389028960338,38.899641,false,,true
5,1389028928480,false,Benning Branch Library,1288584000000,6,70,-76.947974,true,31705,1388987879200,38.894,false,,true
14,1389028906581,false,USDA / 12th & Independence Ave SW,1286297580000,25,71,-77.028226,true,31217,1389028325296,38.887237,false,,true
6,1389028872761,false,Georgetown Harbor / 30th St NW,1286300580000,13,72,-77.059219,true,31215,1389024281830,38.9022212,false,,true
9,1389028941710,false,12th & Newton St NE,1286306220000,2,73,-76.991016,true,31501,1389021708720,38.933668,false,,true
6,1389028973107,false,US Dept of State / Virginia Ave & 21st St NW,1286661900000,9,74,-77.046587,true,31220,1389020241041,38.894919,false,,true
8,1389028905000,false,L'Enfant Plaza / 7th & C St SW,1286410980000,7,75,-77.022241,true,31218,1389026765761,38.886266,false,,true
22,1389028866853,false,10th St & Constitution Ave NW,1286497620000,9,76,-77.026013,true,31219,1389023595186,38.893028,false,,true
1,1389028986741,false,Kennedy Center,1286325060000,10,77,-77.054845,true,31211,1389027296208,38.895184,false,,true
14,1389028905764,false,Eastern Market Metro / Pennsylvania Ave & 7th St SE,1286411820000,5,78,-76.995397,true,31613,1389028662946,38.884,false,,true
3,1389028964277,false,18th & M St NW,1286458140000,16,79,-77.041606,true,31221,1389028480267,38.904742,false,,true
4,1389028938760,false,Tenleytown / Wisconsin Ave & Albemarle St NW,1287150300000,11,80,-77.079382,true,31303,1389019456701,38.947607,false,,true
15,1389028776770,false,13th & H St NE,1286547000000,12,81,-76.9882,true,31611,1389025353497,38.9003,false,,true
23,1389028760048,false,5th & F St NW,1286492280000,8,82,-77.019347,true,31620,1389027069326,38.897222,false,,true
7,1389028924284,false,New York Ave & 15th St NW,1286631960000,6,83,-77.0337,true,31222,1389028439967,38.8991,false,,true
18,1389028900526,false,Convention Center / 7th & M St NW,1286631960000,1,84,-77.022264,true,31223,1389027451368,38.90572,false,,true
4,1389028781313,false,Harvard St & Adams Mill Rd NW,1294164840000,11,85,-77.043358,true,31112,1389028296058,38.927872,false,,true
1,1389028965010,false,19th & L St NW,1287182880000,13,86,-77.043648,true,31224,1389027756971,38.903407,false,,true
9,1389028916628,false,C & O Canal & Wisconsin Ave NW,1287460800000,14,87,-77.06269,true,31225,1389027467642,38.90375,false,,true
11,1389028802593,false,7th & Water St SW / SW Waterfront,1287720000000,8,88,-77.024016,true,31609,1389028077784,38.878925,false,,true
14,1389028810269,false,D St & Maryland Ave NE,1330094460000,9,89,-76.997114,true,31612,1389024444090,38.894758,false,,true
5,1389028766693,false,34th St & Wisconsin Ave NW,1287182760000,6,90,-77.0682,true,31226,1389018364202,38.916442,false,,true
9,1389028990106,false,13th St & New York Ave NW,1287416880000,14,91,-77.029822,true,31227,1389027822896,38.900283,false,,true
17,1389028899122,false,8th & H St NW,1287115200000,16,92,-77.023086,true,31228,1389027771639,38.8997,false,,true
9,1389028867450,false,10th & Monroe St NE,1287096120000,2,93,-76.992889,true,31504,1389027161455,38.932514,false,,true
7,1389028832238,false,Eckington Pl & Q St NE,1287096120000,4,94,-77.00495,true,31505,1389024342738,38.910972,false,,true
14,1389028769841,false,6th & H St NE,1323696720000,9,95,-76.99831,true,31615,1389024324351,38.900384,false,,true
11,1389028984281,false,3rd & H St NE,1287096060000,8,96,-77.001949,true,31616,1389021101747,38.900412,false,,true
12,1389028949823,false,Bladensburg Rd & Benning Rd NE,1288200360000,3,97,-76.982872,true,31617,1389017296364,38.900413,false,,true
6,1389028937022,false,4th & East Capitol St NE,1287028800000,5,98,-77.000349,true,31618,1389028936352,38.889955,false,,true
14,1389028937993,false,Lincoln Park / 13th & East Capitol St NE ,1288038900000,10,99,-76.988355,true,31619,1389028937470,38.890461,false,,true
7,1389028959665,false,Branch & Pennsylvania Ave SE,1309008600000,4,100,-76.9599,true,31701,1388987865112,38.8692,false,,true
18,1389028890051,false,13th & D St NE,1288114080000,13,101,-76.987633,true,31622,1389018861957,38.894832,false,,true
11,1389028871931,false,New Hampshire Ave & T St NW,1287178020000,12,102,-77.03818,true,31229,1389028629769,38.91554,false,,true
6,1389028865306,false,Metro Center / 12th & G St NW,1305259200000,25,103,-77.027869,true,31230,1389028622870,38.898364,false,,true
7,1389028837291,false,14th & D St NW / Ronald Reagan Building,1303306260000,12,104,-77.031617,true,31231,1389028594185,38.894514,false,,true
14,1389028851207,false,7th & F St NW / National Portrait Gallery,1304108940000,5,105,-77.022322,true,31232,1389027884337,38.897324,false,,true
11,1389028928551,false,17th & K St NW / Farragut Square,1304022480000,13,106,-77.038322,true,31233,1389028686632,38.902061,false,,true
8,1389028805590,false,20th & O St NW / Dupont South,1328850000000,11,107,-77.04478,true,31234,1389028416181,38.908905,false,,true
8,1389028760803,false,4th & D St NW / Judiciary Square,1304481600000,7,108,-77.016106,true,31621,1389026500241,38.895344,false,,true
19,1389028882830,false,19th St & Constitution Ave NW,1287607080000,16,109,-77.0436,true,31235,1389026950045,38.8923,false,,true
10,1389028849932,false,37th & O St NW / Georgetown University,1288037580000,13,110,-77.071652,true,31236,1389026325468,38.90774,false,,true
12,1389028796511,false,11th & H St NE,1323666000000,4,111,-76.991383,true,31614,1389028553778,38.899983,false,,true
4,1389028829466,false,25th St & Pennsylvania Ave NW,1288551000000,11,112,-77.053485,true,31237,1389027692585,38.903827,false,,true
10,1389028858743,false,Columbus Circle / Union Station,1285905600000,21,113,-77.00493,true,31623,1389027408747,38.89696,false,,true
5,1389028885959,false,North Capitol St & F St NW,1288122720000,18,114,-77.009888,true,31624,1389028642750,38.897446,false,,true
14,1389028964530,false,11th & M St NW,1364995680000,5,115,-77.027137,true,31266,1389020774857,38.905607,false,,true
4,1389028903757,false,36th & Calvert St NW / Glover Park,1289236620000,11,116,-77.070334,true,31304,1389020758069,38.922581,false,,true
13,1389028977254,false,14th & G St NW,1289237340000,10,117,-77.031823,true,31238,1389028422218,38.898069,false,,true
13,1389028839475,false,Potomac Ave & 35th St S,1351092960000,10,118,-77.050537,true,31052,1389026950500,38.844015,false,,true
19,1389028811206,false,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,1331904960000,4,124,-77.04657,true,31240,1389028281154,38.88412,false,,true
3,1389028987847,false,11th & F St NW,1359981840000,9,125,-77.026975,true,31262,1389027919317,38.897857,true,,true
10,1389028848976,false,23rd & E St NW ,1359652440000,9,126,-77.049882,true,31260,1389025589078,38.896104,false,,true
13,1389028758558,false,Lynn & 19th St North,1302957060000,6,127,-77.070993,true,31014,1389018583878,38.897315,false,,true
9,1389028875640,false,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,1302957120000,6,128,-77.072305,true,31015,1389022640035,38.8946,false,,true
3,1389028898283,false,Clarendon Blvd & Pierce St,1302957960000,8,129,-77.076701,true,31016,1389016881312,38.893648,false,,true
7,1389028960854,false,Court House Metro / Wilson Blvd & N Uhle St,1320933600000,8,130,-77.0846,true,31017,1389023350891,38.891696,false,,true
3,1389028793273,false,N Rhodes & 16th St N,1302963480000,8,131,-77.079375,true,31018,1389028309008,38.892164,false,,true
7,1389028803196,false,Fairfax Village,1311771600000,8,132,-76.952103,true,31706,1388987868277,38.86559,false,,true
2,1389028966329,false,21st St & Constitution Ave NW,1359639120000,13,133,-77.046567,true,31261,1389019647103,38.892459,false,,true
8,1389028774006,false,Wilson Blvd & N Edgewood St,1321015980000,7,134,-77.0925,true,31019,1388968605061,38.889,false,,true
14,1389028842947,false,Columbia Rd & Belmont St NW,1321625100000,5,135,-77.04368,true,31113,1389028600553,38.920669,false,,true
8,1389028905775,false,17th & Rhode Island Ave NW,1321639800000,14,136,-77.038785,true,31239,1389028663211,38.906602,false,,true
13,1389028886373,false,Thomas Circle,1321714320000,15,137,-77.0325,true,31241,1389027919928,38.9059,false,,true
7,1389028756436,false,Wilson Blvd & Franklin Rd,1322715600000,4,138,-77.0889,true,31020,1389028030620,38.8904,false,,true
7,1389028906166,false,Clarendon Blvd & N Fillmore St,1321981080000,8,139,-77.09308,true,31021,1388987867993,38.8881,false,,true
10,1389028811727,false,Clarendon Metro / Wilson Blvd & N Highland St,1321983480000,7,140,-77.094875,true,31022,1389009149597,38.88786,false,,true
