availableDocks,totalDocks,city,altitude,stAddress2,longitude,lastCommunicationTime,postalCode,statusValue,testStation,stAddress1,stationName,landMark,latitude,statusKey,availableBikes,id,location
27,38,,,,-73.99392888,,,In Service,False,W 52 St & 11 Ave,W 52 St & 11 Ave,,40.76727216,1,11,72,
3,33,,,,-74.00666661,,,In Service,False,Franklin St & W Broadway,Franklin St & W Broadway,,40.71911552,1,28,79,
18,27,,,,-74.00016545,,,In Service,False,St James Pl & Pearl St,St James Pl & Pearl St,,40.71117416,1,9,82,
27,62,,,,-73.97632328,,,In Service,False,Atlantic Ave & Fort Greene Pl,Atlantic Ave & Fort Greene Pl,,40.68382604,1,34,83,
6,39,,,,-74.00149746,,,In Service,False,W 17 St & 8 Ave,W 17 St & 8 Ave,,40.74177603,1,31,116,
7,19,,,,-73.97803415,,,In Service,False,Park Ave & St Edwards St,Park Ave & St Edwards St,,40.69608941,1,11,119,
13,19,,,,-73.95928168,,,In Service,False,Lexington Ave & Classon Ave,Lexington Ave & Classon Ave,,40.68676793,1,6,120,
21,31,,,,-74.00674436,,,In Service,False,Barrow St & Hudson St,Barrow St & Hudson St,,40.73172428,1,10,127,
3,30,,,,-74.00297088,,,In Service,False,MacDougal St & Prince St,MacDougal St & Prince St,,40.72710258,1,25,128,
24,46,,,,-73.972924,,,In Service,False,E 56 St & Madison Ave,E 56 St & Madison Ave,,40.761628,1,21,137,
2,23,,,,-73.99337909,,,In Service,False,Clinton St & Joralemon St,Clinton St & Joralemon St,,40.69239502,1,20,143,
10,19,,,,-73.98068914,,,In Service,False,Nassau St & Navy St,Nassau St & Navy St,,40.69839895,1,9,144,
34,39,,,,-74.0091059,,,In Service,False,Hudson St & Reade St,Hudson St & Reade St,,40.71625008,1,5,146,
19,33,,,,-74.01121978,,,In Service,False,Greenwich St & Warren St,Greenwich St & Warren St,,40.71542197,1,14,147,
9,31,,,,-73.98085795,,,In Service,False,E 2 St & Avenue C,E 2 St & Avenue C,,40.7208736,1,22,150,
24,33,,,,-73.99720307,,,In Service,False,Cleveland Pl & Spring St,Cleveland Pl & Spring St,,40.7218158,1,9,151,
